Frame,Time,Point-154250 X,Point-154250 Y,Point-154948 X,Point-154948 Y,Point-155505 X,Point-155505 Y,Point-155614 X,Point-155614 Y,Point-155746 X,Point-155746 Y,Point-160018 X,Point-160018 Y,Point-161826 X,Point-161826 Y,Point-162717 X,Point-162717 Y,Point-162918 X,Point-162918 Y,Point-164408 X,Point-164408 Y,Point-164408 X,Point-164408 Y,Point-165848 X,Point-165848 Y
87,2.9,8.12,-8.09,15.77,8.45,14.23,6.78,9.18,5.52,12.62,14.53,9.99,7.89,15.07,10.49,10.33,-6.39,10.79,-4.53,6.57,-5.69,9.96,-4.67,15.05,-3.89
88,2.933333333,7.99,-8.35,15.04,8.76,14.22,6.51,9.4,5.79,12.71,14.75,10.01,7.96,15.08,10.46,10.28,-6.43,10.79,-4.5,6.57,-5.71,9.98,-4.67,15.03,-3.86
89,2.966666667,7.88,-8.51,14.97,9.09,14.18,6.84,9.55,5.98,12.75,14.62,10.1,8.03,15.05,10.49,10.26,-6.45,10.8,-4.46,6.56,-5.68,9.98,-4.61,15.05,-3.86
90,3,7.8,-8.56,14.89,9.46,14.31,6.95,9.51,6.03,12.66,14.41,10.14,7.98,15.05,10.45,10.27,-6.46,10.83,-4.48,6.59,-5.72,9.99,-4.58,15.13,-3.93
91,3.033333333,7.77,-8.56,14.78,9.82,14.27,6.97,9.52,6.06,12.68,14.27,10.07,7.93,15.09,10.38,10.3,-6.38,10.84,-4.51,6.62,-5.65,10.03,-4.55,15.18,-3.89
92,3.066666667,7.77,-8.57,14.69,10.23,14.36,7.32,9.61,6.06,12.71,14.19,9.97,7.91,15.07,10.31,10.29,-6.43,10.84,-4.52,6.67,-5.65,10,-4.5,15.16,-3.96
93,3.1,7.78,-8.53,14.58,10.61,14.35,7.35,9.7,5.93,12.79,14.11,9.92,7.95,15.08,10.28,10.32,-6.46,10.82,-4.53,6.62,-5.65,10,-4.54,15.19,-3.97
94,3.133333333,7.84,-8.47,14.45,10.98,14.21,6.98,9.71,5.78,12.87,13.99,10.01,8.02,15.03,10.32,10.33,-6.53,10.83,-4.52,6.56,-5.74,9.99,-4.55,15.21,-3.91
95,3.166666667,7.92,-8.33,14.38,11.11,14.28,6.95,9.77,5.9,13.01,13.8,10.12,7.97,15.07,10.3,10.36,-6.57,10.83,-4.52,6.6,-5.82,9.95,-4.62,15.19,-4.08
96,3.2,7.99,-8.19,14.35,10.97,,,9.9,6.11,13.13,13.71,10.19,7.92,15.07,10.34,10.41,-6.66,10.83,-4.51,6.66,-5.8,9.95,-4.73,15.14,-4.25
97,3.233333333,8.05,-8.07,14.34,10.74,,,9.9,6.19,13.24,13.78,10.12,7.97,14.99,10.4,10.48,-6.73,10.82,-4.51,6.62,-5.81,9.98,-4.76,15.17,-4.47
98,3.266666667,8.08,-8.05,14.33,10.5,,,9.91,5.98,13.21,13.91,9.93,8.05,14.97,10.42,10.54,-6.78,10.83,-4.54,6.62,-5.73,9.95,-4.75,15.18,-4.62
99,3.3,8.11,-8.07,14.23,10.28,14.17,,9.8,5.75,13.2,13.93,9.81,8.11,14.98,10.43,10.6,-6.82,10.82,-4.57,6.58,-5.72,9.9,-4.68,15.11,-4.55
100,3.333333333,8.18,-8.1,14.13,10.05,,,9.78,5.79,13.21,13.84,9.73,8.17,14.94,10.37,10.55,-6.78,10.83,-4.6,6.55,-5.71,9.9,-4.69,15.15,-4.55
101,3.366666667,8.23,-8.09,13.89,9.73,14.22,6.9,9.59,5.78,13.24,13.54,9.71,8.27,14.89,10.35,10.53,-6.83,10.82,-4.61,6.58,-5.73,9.91,-4.75,15.15,-4.57
102,3.4,8.23,-8.07,13.54,9.47,14.37,7.04,9.52,5.83,13.28,13.13,9.68,8.32,14.96,10.3,10.52,-6.88,10.79,-4.57,6.59,-5.73,9.94,-4.82,15.1,-4.54
103,3.433333333,8.12,-8.09,13.19,9.23,14.29,6.96,9.51,5.95,13.22,12.78,9.68,8.32,15,10.34,10.52,-6.92,10.76,-4.57,6.58,-5.75,9.99,-4.77,15.02,-4.52
104,3.466666667,8.02,-8.12,12.92,9.02,14.17,6.92,9.75,5.86,13.21,12.51,9.66,8.23,15.03,10.38,10.54,-6.9,10.7,-4.58,6.51,-5.79,9.91,-4.76,15.15,-4.51
105,3.5,7.97,-8.19,12.72,8.92,14.08,6.87,9.92,5.53,13.17,12.3,9.71,8.19,15.09,10.44,10.58,-6.88,10.64,-4.59,6.47,-5.75,9.89,-4.78,15.03,-4.62
106,3.533333333,7.89,-8.3,12.7,8.97,14.11,6.87,10,5.27,13.25,12.26,9.81,8.22,15.03,10.44,10.51,-6.85,10.59,-4.6,6.52,-5.72,9.96,-4.76,14.93,-4.74
107,3.566666667,7.84,-8.33,12.83,8.97,14.3,6.97,10.21,5.11,13.36,12.24,9.89,8.23,15.05,10.43,10.44,-6.82,10.54,-4.6,6.55,-5.7,9.97,-4.74,14.79,-4.85
108,3.6,7.84,-8.31,12.92,8.98,14.31,7,10.18,5.04,13.39,12.12,9.88,8.23,15.1,10.41,10.53,-6.81,10.52,-4.58,6.53,-5.76,9.89,-4.67,14.89,-4.85
109,3.633333333,7.92,-8.27,12.86,8.86,14.21,6.93,10.04,5.11,13.37,12.08,9.75,8.15,15.17,10.47,10.56,-6.83,10.51,-4.56,6.46,-5.77,9.88,-4.6,14.88,-4.91
110,3.666666667,8,-8.27,12.82,8.88,14.07,6.9,9.91,5.06,13.43,11.98,9.7,8.08,15.22,10.51,10.62,-6.9,10.49,-4.54,6.47,-5.68,9.91,-4.6,14.83,-4.95
111,3.7,8.07,-8.25,12.75,8.88,14.07,6.92,10.01,5.01,13.33,11.65,9.78,8.11,15.21,10.52,10.51,-6.79,10.45,-4.53,6.55,-5.7,9.89,-4.65,14.88,-4.9
